Município1,Código Município IBGE,População estimada (2020),UF1,05/03/20,06/03/20,12/03/20,13/03/20,17/03/20,18/03/20,19/03/20,20/03/20,21/03/20,22/03/20,23/03/20,24/03/20,25/03/20,26/03/20,27/03/20,28/03/20,29/03/20,30/03/20,31/03/20,01/04/20,02/04/20,03/04/20,04/04/20,05/04/20,06/04/20,07/04/20,08/04/20,09/04/20,10/04/20,11/04/20,12/04/20,13/04/20,14/04/20,15/04/20,16/04/20,17/04/20,18/04/20,19/04/20,20/04/20,21/04/20,22/04/20,23/04/20,24/04/20,25/04/20,26/04/20,27/04/20,28/04/20,29/04/20,30/04/20,01/05/20,02/05/20,03/05/20,04/05/20,05/05/20,06/05/20,07/05/20,08/05/20,09/05/20,10/05/20,11/05/20,12/05/20,13/05/20,14/05/20,15/05/20,16/05/20,17/05/20,18/05/20,19/05/20,20/05/20,21/05/20,22/05/20,23/05/20,24/05/20,25/05/20,26/05/20,27/05/20,28/05/20,29/05/20,30/05/20,31/05/20,01/06/20,02/06/20,03/06/20,04/06/20,05/06/20,06/06/20,07/06/20,08/06/20,09/06/20,10/06/20,11/06/20,12/06/20,13/06/20,14/06/20,15/06/20,16/06/20,17/06/20,18/06/20,19/06/20,20/06/20,21/06/20,22/06/20,23/06/20,24/06/20,25/06/20,26/06/20,27/06/20,28/06/20,29/06/20,30/06/20,01/07/20,02/07/20,03/07/20,04/07/20,05/07/20,06/07/20,07/07/20,08/07/20,09/07/20,10/07/20,11/07/20,12/07/20,13/07/20,14/07/20,15/07/20,16/07/20,17/07/20,18/07/20,19/07/20,20/07/20,21/07/20,22/07/20,23/07/20,24/07/20,25/07/20,26/07/20,27/07/20,28/07/20,29/07/20,30/07/20,31/07/20,01/08/20,02/08/20,03/08/20,04/08/20,05/08/20,06/08/20,07/08/20,08/08/20,09/08/20,10/08/20,11/08/20,12/08/20,13/08/20,14/08/20,15/08/20,16/08/20,17/08/20,18/08/20,19/08/20,20/08/20,21/08/20,22/08/20,23/08/20,24/08/20,25/08/20,26/08/20,27/08/20,28/08/20,29/08/20,30/08/20,31/08/20,01/09/20,02/09/20,03/09/20,04/09/20,05/09/20,06/09/20,07/09/20,08/09/20,09/09/20,10/09/20,11/09/20,12/09/20,13/09/20,14/09/20,15/09/20,16/09/20,17/09/20,18/09/20,19/09/20,20/09/20,21/09/20,22/09/20,23/09/20,24/09/20,25/09/20,26/09/20,27/09/20,28/09/20,29/09/20,30/09/20,01/10/20,02/10/20,03/10/20,04/10/20,05/10/20,06/10/20,07/10/20,08/10/20,09/10/20,10/10/20,11/10/20,12/10/20,13/10/20,14/10/20,15/10/20,16/10/20,17/10/20,18/10/20,19/10/20,20/10/20,21/10/20,22/10/20,23/10/20,24/10/20,25/10/20,26/10/20,27/10/20,28/10/20,29/10/20,30/10/20,31/10/20,01/11/20,02/11/20,03/11/20,04/11/20,05/11/20,06/11/20,07/11/20,08/11/20,09/11/20,10/11/20,11/11/20,12/11/20,13/11/20,14/11/20,15/11/20,16/11/20,17/11/20,18/11/20,19/11/20,20/11/20,21/11/20,22/11/20,23/11/20,24/11/20,25/11/20,26/11/20,27/11/20,28/11/20,29/11/20,30/11/20,01/12/20,02/12/20,03/12/20
ITANHAÉM,3522109,103102,SP,46%,42%,41%,44%,50%,51%,51%,53%,60%,63%,59%,61%,61%,61%,59%,60%,62%,63%,64%,63%,63%,62%,64%,63%,59%,59%,58%,57%,65%,63%,65%,58%,58%,59%,58%,57%,61%,66%,58%,62%,60%,54%,57%,61%,65%,56%,57%,57%,55%,63%,62%,64%,56%,51%,55%,53%,54%,57%,61%,56%,55%,56%,59%,57%,51%,55%,51%,50%,50%,51%,50%,52%,55%,49%,47%,49%,49%,50%,53%,53%,48%,50%,50%,49%,49%,51%,53%,49%,49%,49%,52%,49%,51%,52%,49%,48%,49%,47%,47%,51%,52%,48%,48%,50%,48%,47%,53%,52%,48%,48%,47%,46%,47%,50%,51%,47%,48%,48%,49%,48%,50%,50%,47%,49%,49%,49%,47%,50%,51%,45%,46%,47%,46%,47%,48%,51%,46%,46%,47%,49%,48%,50%,50%,45%,45%,46%,46%,46%,45%,47%,46%,45%,45%,46%,46%,49%,49%,46%,48%,45%,48%,46%,49%,50%,45%,45%,44%,45%,46%,45%,46%,43%,46%,46%,44%,45%,48%,49%,43%,40%,44%,45%,44%,45%,46%,41%,45%,45%,45%,45%,45%,47%,46%,47%,46%,45%,45%,45%,46%,43%,46%,42%,42%,43%,45%,46%,43%,43%,42%,42%,45%,47%,48%,42%,38%,44%,45%,46%,44%,47%,43%,43%,45%,44%,45%,46%,46%,41%,45%,43%,44%,46%,50%,48%,44%,41%,44%,43%,44%,45%,45%,41%,42%,43%,44%,43%,45%,44%,41%,43%,44%,44%,44%,44%,41%,39%,44%,44%,44%,45%,43%,42%,42%,41%,45%,44%
ITAPECERICA DA SERRA,3522208,177662,SP,39%,38%,36%,39%,44%,42%,47%,49%,60%,62%,56%,58%,59%,58%,58%,61%,65%,59%,60%,60%,59%,60%,63%,65%,58%,56%,55%,53%,65%,61%,67%,56%,56%,56%,56%,55%,60%,66%,56%,64%,54%,54%,53%,59%,65%,54%,55%,54%,53%,62%,59%,66%,54%,54%,53%,55%,54%,57%,62%,54%,54%,54%,56%,55%,49%,52%,47%,46%,48%,49%,47%,50%,54%,49%,45%,46%,47%,45%,52%,52%,46%,47%,46%,44%,45%,47%,49%,46%,46%,45%,47%,45%,47%,51%,46%,46%,45%,44%,44%,46%,50%,44%,44%,45%,42%,44%,45%,49%,45%,44%,44%,43%,43%,45%,48%,42%,43%,42%,44%,42%,44%,47%,43%,44%,43%,43%,42%,44%,47%,41%,41%,40%,40%,39%,42%,46%,41%,40%,41%,39%,40%,40%,45%,39%,40%,39%,38%,38%,39%,42%,40%,45%,44%,43%,40%,46%,53%,45%,46%,45%,45%,40%,47%,51%,45%,44%,44%,44%,43%,41%,46%,42%,42%,43%,41%,40%,42%,45%,45%,42%,43%,42%,42%,43%,47%,41%,43%,43%,43%,43%,43%,48%,43%,44%,42%,43%,41%,43%,46%,42%,42%,41%,42%,41%,42%,47%,40%,41%,40%,42%,42%,42%,46%,47%,39%,43%,43%,43%,44%,49%,43%,43%,43%,42%,42%,44%,49%,43%,43%,43%,42%,43%,48%,48%,49%,41%,42%,41%,41%,40%,47%,41%,42%,42%,41%,42%,44%,47%,42%,43%,42%,41%,42%,45%,47%,42%,43%,42%,41%,41%,44%,45%,41%,41%,42%,42%
ITAPETININGA,3522307,165526,SP,38%,36%,34%,37%,42%,44%,45%,45%,53%,54%,51%,53%,53%,53%,51%,53%,56%,56%,56%,55%,55%,55%,58%,57%,53%,52%,51%,49%,59%,55%,59%,51%,52%,51%,50%,49%,53%,59%,51%,57%,49%,49%,50%,53%,59%,50%,51%,49%,48%,56%,53%,59%,49%,48%,48%,48%,46%,49%,54%,46%,46%,49%,49%,47%,46%,51%,44%,44%,44%,44%,42%,46%,52%,48%,42%,44%,40%,43%,45%,49%,42%,44%,43%,43%,42%,49%,48%,42%,42%,41%,46%,41%,43%,49%,42%,42%,42%,42%,40%,43%,48%,42%,42%,42%,41%,39%,45%,48%,42%,42%,42%,42%,41%,44%,44%,38%,41%,40%,41%,40%,43%,48%,41%,42%,41%,41%,41%,43%,48%,40%,37%,40%,39%,40%,40%,48%,41%,39%,40%,40%,39%,41%,48%,40%,40%,38%,39%,38%,40%,45%,39%,40%,38%,39%,41%,43%,52%,43%,43%,41%,43%,43%,45%,50%,41%,41%,42%,42%,40%,42%,45%,41%,40%,41%,40%,40%,42%,45%,48%,41%,41%,39%,40%,40%,47%,40%,42%,41%,41%,41%,42%,48%,42%,41%,40%,41%,41%,40%,46%,42%,41%,40%,42%,41%,41%,48%,39%,40%,39%,41%,41%,41%,47%,48%,39%,41%,40%,41%,42%,47%,41%,40%,41%,41%,41%,43%,47%,41%,41%,41%,40%,42%,41%,49%,48%,41%,40%,42%,41%,43%,46%,40%,39%,39%,41%,40%,42%,46%,40%,41%,40%,41%,40%,42%,46%,40%,41%,39%,40%,40%,42%,46%,40%,40%,41%,41%
ITAPEVA,3522406,94804,SP,38%,36%,36%,37%,41%,43%,43%,44%,53%,53%,52%,53%,53%,52%,51%,52%,53%,54%,53%,53%,50%,52%,53%,54%,51%,49%,47%,46%,58%,52%,57%,48%,49%,48%,45%,47%,51%,57%,48%,55%,47%,46%,46%,49%,55%,46%,47%,46%,44%,54%,49%,56%,45%,45%,46%,45%,44%,48%,52%,46%,46%,44%,43%,44%,41%,48%,42%,41%,41%,42%,40%,47%,50%,47%,41%,38%,37%,38%,43%,46%,41%,41%,41%,41%,39%,56%,49%,41%,40%,39%,44%,39%,41%,46%,40%,39%,39%,38%,37%,41%,46%,39%,40%,39%,39%,39%,44%,48%,41%,40%,38%,41%,39%,43%,40%,41%,39%,40%,40%,39%,41%,46%,40%,36%,39%,39%,39%,39%,45%,38%,37%,36%,37%,36%,39%,45%,38%,36%,37%,36%,36%,39%,46%,39%,37%,36%,37%,36%,38%,43%,37%,38%,37%,38%,39%,43%,49%,40%,38%,40%,40%,38%,42%,47%,38%,40%,38%,37%,37%,38%,44%,38%,38%,39%,38%,36%,38%,41%,44%,37%,37%,38%,37%,38%,43%,36%,38%,37%,38%,37%,38%,43%,37%,39%,38%,37%,37%,39%,42%,38%,38%,37%,38%,37%,37%,43%,38%,37%,35%,38%,35%,38%,42%,44%,35%,37%,37%,37%,38%,42%,37%,38%,37%,37%,37%,39%,42%,36%,36%,36%,37%,35%,37%,43%,44%,36%,36%,35%,35%,37%,41%,36%,37%,37%,35%,35%,37%,41%,35%,38%,37%,36%,36%,37%,41%,36%,37%,36%,36%,36%,37%,41%,36%,35%,37%,36%
ITAPEVI,3522505,240961,SP,35%,33%,32%,34%,39%,39%,39%,44%,56%,56%,53%,54%,54%,54%,53%,56%,60%,56%,56%,54%,55%,55%,58%,59%,50%,50%,51%,48%,59%,56%,62%,52%,53%,53%,52%,52%,56%,62%,52%,56%,46%,46%,50%,55%,63%,51%,51%,51%,50%,59%,56%,63%,50%,50%,50%,51%,49%,53%,58%,50%,51%,51%,52%,51%,43%,49%,44%,43%,43%,43%,43%,46%,50%,47%,42%,43%,42%,41%,49%,49%,42%,43%,41%,42%,41%,43%,46%,42%,42%,42%,45%,40%,43%,48%,41%,41%,41%,40%,41%,43%,47%,42%,41%,40%,39%,41%,44%,47%,42%,41%,41%,41%,40%,41%,46%,41%,41%,40%,40%,39%,42%,46%,39%,41%,39%,40%,39%,41%,45%,37%,38%,38%,38%,37%,38%,44%,39%,37%,37%,37%,38%,38%,43%,36%,37%,36%,38%,36%,38%,40%,38%,37%,37%,37%,37%,40%,46%,39%,40%,40%,39%,37%,40%,43%,38%,38%,37%,37%,37%,37%,45%,38%,38%,38%,38%,36%,38%,43%,43%,37%,38%,37%,37%,37%,43%,37%,38%,36%,37%,37%,39%,43%,38%,39%,37%,36%,36%,38%,43%,37%,37%,37%,37%,36%,38%,45%,36%,37%,36%,34%,38%,38%,42%,44%,35%,37%,37%,39%,39%,42%,38%,37%,38%,37%,36%,39%,44%,37%,37%,36%,35%,38%,45%,45%,44%,36%,36%,37%,37%,39%,38%,36%,36%,35%,34%,33%,38%,42%,36%,36%,38%,38%,39%,39%,42%,37%,38%,37%,37%,38%,37%,42%,36%,37%,37%,37%
ITAPIRA,3522604,75234,SP,42%,39%,38%,40%,44%,45%,47%,49%,61%,57%,54%,54%,56%,55%,55%,58%,61%,58%,58%,57%,57%,56%,61%,61%,55%,53%,52%,49%,64%,57%,61%,53%,53%,51%,52%,50%,56%,63%,52%,60%,49%,50%,50%,54%,61%,51%,50%,50%,48%,58%,54%,60%,49%,48%,48%,48%,46%,51%,57%,48%,47%,47%,47%,47%,49%,52%,49%,45%,46%,46%,46%,49%,52%,48%,44%,46%,44%,44%,50%,49%,43%,44%,44%,46%,43%,49%,52%,42%,46%,46%,46%,45%,44%,50%,44%,44%,43%,43%,45%,45%,48%,43%,45%,45%,44%,44%,44%,48%,45%,46%,43%,43%,42%,47%,50%,43%,44%,41%,44%,42%,47%,49%,42%,45%,46%,45%,44%,46%,48%,40%,40%,44%,40%,40%,44%,49%,41%,38%,42%,42%,40%,38%,48%,42%,37%,37%,,33%,42%,42%,40%,41%,44%,40%,44%,44%,48%,42%,39%,40%,38%,43%,46%,46%,43%,43%,40%,41%,38%,41%,48%,44%,40%,39%,38%,39%,42%,47%,47%,41%,39%,38%,40%,40%,47%,41%,44%,42%,42%,40%,42%,49%,39%,42%,43%,38%,40%,41%,43%,38%,39%,,41%,42%,40%,44%,42%,42%,38%,40%,40%,42%,46%,43%,39%,40%,36%,40%,41%,47%,44%,39%,39%,36%,41%,44%,43%,40%,36%,38%,41%,36%,44%,48%,46%,37%,40%,38%,40%,40%,47%,40%,38%,41%,41%,38%,39%,46%,39%,42%,43%,39%,40%,42%,41%,41%,36%,43%,39%,39%,41%,46%,37%,37%,39%,39%
ITAQUAQUECETUBA,3523107,375011,SP,39%,37%,36%,38%,43%,44%,46%,47%,58%,60%,56%,57%,58%,58%,57%,61%,64%,59%,60%,58%,58%,58%,59%,63%,54%,54%,54%,54%,64%,61%,66%,56%,56%,55%,55%,54%,59%,66%,55%,63%,52%,54%,52%,57%,65%,54%,54%,54%,53%,63%,60%,63%,53%,52%,53%,53%,51%,55%,62%,53%,52%,51%,54%,53%,48%,51%,48%,46%,46%,46%,47%,49%,51%,49%,46%,45%,45%,44%,51%,51%,45%,45%,45%,44%,44%,46%,51%,44%,45%,45%,45%,43%,45%,50%,44%,44%,44%,43%,44%,43%,48%,43%,43%,43%,43%,43%,45%,48%,43%,44%,43%,42%,42%,45%,47%,43%,42%,42%,43%,42%,44%,47%,42%,43%,43%,43%,41%,43%,48%,41%,43%,43%,41%,41%,42%,48%,40%,41%,40%,42%,41%,43%,47%,41%,41%,41%,40%,39%,41%,44%,38%,40%,39%,39%,39%,40%,45%,40%,41%,39%,41%,39%,42%,45%,38%,39%,39%,39%,38%,39%,43%,38%,40%,40%,39%,36%,38%,42%,43%,41%,38%,38%,39%,39%,41%,38%,38%,39%,39%,36%,37%,41%,39%,38%,39%,38%,36%,38%,41%,37%,36%,36%,37%,37%,37%,40%,36%,36%,37%,36%,38%,37%,40%,41%,37%,37%,38%,38%,38%,45%,37%,37%,37%,38%,38%,39%,42%,36%,35%,37%,36%,38%,47%,42%,42%,38%,38%,36%,36%,38%,44%,36%,37%,36%,36%,36%,39%,41%,36%,37%,38%,35%,38%,39%,41%,36%,36%,37%,36%,38%,36%,39%,36%,36%,35%,36%
ITATIBA,3523404,122581,SP,34%,32%,30%,33%,37%,40%,41%,42%,55%,55%,50%,50%,52%,51%,50%,53%,57%,54%,53%,53%,48%,51%,55%,57%,49%,49%,46%,44%,56%,50%,55%,47%,47%,47%,46%,44%,49%,56%,47%,53%,44%,44%,44%,48%,55%,45%,45%,44%,43%,52%,49%,55%,44%,44%,43%,43%,41%,45%,50%,44%,44%,43%,43%,43%,47%,51%,44%,43%,43%,43%,42%,47%,52%,47%,41%,43%,43%,42%,47%,48%,43%,42%,42%,41%,41%,47%,47%,42%,41%,40%,46%,41%,44%,49%,42%,42%,42%,40%,40%,45%,48%,42%,42%,41%,40%,40%,45%,49%,42%,41%,41%,41%,40%,43%,48%,41%,41%,40%,41%,40%,43%,49%,41%,41%,41%,41%,40%,43%,48%,38%,37%,38%,37%,37%,40%,47%,38%,38%,37%,37%,37%,40%,46%,37%,37%,36%,36%,35%,38%,43%,38%,37%,36%,37%,36%,39%,47%,38%,38%,38%,37%,36%,40%,46%,37%,38%,37%,37%,36%,37%,45%,36%,37%,37%,36%,35%,37%,42%,43%,39%,36%,36%,35%,38%,44%,36%,36%,35%,35%,35%,37%,43%,36%,36%,36%,35%,36%,37%,41%,37%,36%,35%,36%,35%,36%,43%,36%,35%,35%,36%,34%,36%,42%,42%,33%,34%,35%,37%,38%,44%,37%,36%,36%,36%,35%,38%,43%,37%,36%,36%,36%,35%,39%,44%,43%,36%,36%,35%,35%,37%,42%,36%,36%,35%,35%,35%,36%,40%,36%,36%,35%,34%,37%,36%,41%,35%,35%,34%,35%,36%,36%,41%,35%,34%,35%,35%
ITU,3523909,175568,SP,35%,33%,31%,34%,39%,40%,42%,42%,54%,54%,50%,53%,53%,52%,51%,55%,58%,54%,54%,54%,53%,53%,57%,57%,50%,50%,48%,46%,59%,54%,57%,49%,49%,49%,47%,47%,50%,59%,49%,57%,46%,46%,46%,51%,58%,47%,47%,46%,46%,55%,51%,57%,46%,45%,45%,45%,43%,48%,52%,45%,43%,45%,44%,42%,47%,52%,44%,44%,44%,45%,43%,47%,53%,48%,41%,44%,44%,43%,49%,52%,43%,42%,43%,43%,42%,48%,50%,42%,42%,41%,47%,41%,45%,49%,41%,42%,41%,40%,41%,40%,48%,41%,42%,41%,40%,40%,45%,48%,41%,41%,42%,41%,40%,44%,49%,41%,41%,40%,40%,40%,43%,48%,40%,40%,41%,40%,40%,43%,48%,37%,37%,37%,35%,36%,40%,47%,38%,37%,37%,37%,36%,40%,46%,36%,36%,35%,36%,35%,38%,43%,36%,36%,35%,34%,35%,39%,46%,36%,36%,36%,36%,35%,40%,42%,36%,36%,35%,36%,34%,37%,43%,35%,36%,35%,35%,34%,36%,42%,42%,35%,34%,35%,34%,36%,41%,35%,35%,34%,35%,34%,37%,41%,35%,34%,34%,34%,34%,36%,42%,35%,35%,35%,35%,34%,37%,43%,35%,35%,35%,36%,35%,36%,43%,43%,33%,36%,35%,37%,38%,41%,36%,34%,35%,35%,33%,36%,40%,35%,35%,35%,35%,35%,40%,44%,43%,34%,35%,34%,34%,37%,42%,34%,35%,34%,34%,34%,36%,40%,35%,35%,35%,34%,38%,37%,41%,35%,35%,34%,34%,37%,36%,39%,33%,31%,35%,34%
JABOTICABAL,3524303,77652,SP,37%,35%,33%,35%,41%,43%,42%,42%,55%,53%,53%,53%,52%,53%,53%,55%,55%,49%,55%,54%,54%,54%,57%,57%,52%,51%,49%,43%,58%,49%,55%,40%,44%,39%,42%,45%,50%,57%,48%,58%,46%,45%,45%,50%,58%,46%,47%,45%,44%,58%,51%,59%,47%,45%,44%,43%,41%,46%,51%,44%,43%,43%,43%,42%,48%,52%,46%,45%,45%,45%,44%,46%,53%,50%,44%,45%,45%,44%,46%,50%,45%,45%,44%,44%,43%,49%,50%,44%,44%,44%,48%,43%,45%,49%,44%,44%,44%,43%,43%,45%,47%,44%,44%,44%,43%,43%,45%,50%,44%,44%,44%,43%,43%,45%,49%,43%,42%,43%,43%,42%,44%,49%,43%,44%,43%,44%,42%,44%,49%,42%,42%,41%,41%,41%,44%,50%,42%,42%,42%,42%,42%,44%,50%,41%,41%,41%,41%,40%,42%,47%,43%,42%,41%,41%,43%,45%,52%,42%,42%,42%,43%,41%,43%,48%,42%,42%,41%,41%,40%,42%,47%,42%,41%,41%,40%,39%,41%,43%,47%,41%,41%,42%,39%,41%,46%,41%,40%,41%,42%,42%,42%,46%,41%,42%,41%,41%,41%,40%,45%,42%,40%,40%,39%,41%,39%,45%,41%,40%,39%,37%,40%,38%,43%,46%,40%,40%,40%,40%,41%,44%,41%,41%,41%,40%,38%,41%,44%,40%,40%,40%,39%,38%,41%,44%,45%,40%,39%,38%,38%,39%,44%,39%,40%,40%,37%,38%,40%,43%,39%,39%,40%,38%,38%,39%,43%,39%,39%,39%,39%,38%,40%,41%,39%,38%,39%,38%
JACAREÍ,3524402,235416,SP,37%,35%,32%,35%,41%,43%,47%,46%,57%,57%,53%,56%,54%,53%,54%,57%,59%,56%,55%,55%,54%,57%,58%,60%,51%,51%,51%,50%,61%,57%,62%,52%,53%,52%,52%,52%,57%,63%,54%,60%,50%,51%,51%,56%,62%,50%,51%,50%,49%,59%,56%,62%,50%,50%,50%,48%,48%,53%,57%,50%,49%,49%,50%,48%,50%,54%,48%,48%,48%,48%,47%,51%,55%,52%,46%,49%,48%,47%,54%,54%,48%,48%,47%,47%,47%,50%,52%,46%,47%,46%,51%,46%,49%,52%,47%,47%,47%,46%,46%,46%,51%,45%,46%,46%,45%,46%,48%,51%,45%,44%,44%,45%,44%,46%,51%,44%,45%,44%,45%,44%,47%,50%,45%,45%,45%,45%,44%,47%,50%,43%,43%,42%,43%,42%,45%,51%,45%,43%,43%,44%,42%,45%,51%,43%,43%,43%,43%,41%,43%,48%,43%,43%,42%,40%,40%,43%,48%,42%,42%,41%,41%,40%,43%,46%,41%,42%,41%,40%,39%,39%,45%,41%,40%,40%,40%,38%,41%,44%,46%,38%,40%,40%,38%,40%,45%,40%,40%,40%,41%,38%,40%,45%,40%,42%,40%,40%,38%,40%,45%,40%,41%,40%,40%,40%,38%,45%,40%,39%,38%,40%,40%,38%,44%,46%,38%,40%,40%,39%,39%,44%,40%,38%,39%,39%,38%,42%,45%,40%,39%,40%,40%,38%,49%,45%,44%,38%,39%,39%,39%,43%,46%,38%,38%,38%,37%,39%,41%,43%,39%,38%,38%,38%,37%,39%,42%,39%,39%,37%,39%,37%,39%,41%,38%,37%,37%,38%
JANDIRA,3525003,126356,SP,32%,32%,30%,32%,37%,32%,41%,42%,53%,57%,50%,51%,51%,53%,50%,55%,57%,56%,55%,56%,54%,55%,59%,56%,52%,50%,51%,52%,60%,61%,63%,51%,52%,52%,50%,50%,54%,60%,52%,57%,47%,48%,48%,52%,60%,49%,49%,49%,48%,56%,54%,61%,49%,49%,48%,49%,47%,52%,56%,49%,48%,49%,50%,49%,42%,46%,42%,42%,41%,42%,41%,43%,46%,41%,39%,41%,41%,40%,49%,46%,41%,42%,39%,39%,39%,41%,43%,40%,40%,40%,41%,40%,41%,45%,41%,41%,40%,39%,40%,40%,44%,40%,40%,41%,36%,40%,41%,44%,40%,40%,40%,40%,39%,40%,44%,40%,39%,39%,40%,39%,40%,43%,38%,40%,38%,38%,38%,38%,42%,34%,36%,34%,35%,34%,36%,39%,38%,35%,35%,,35%,35%,40%,34%,35%,34%,33%,34%,34%,37%,36%,36%,39%,36%,37%,36%,43%,37%,38%,35%,35%,37%,35%,40%,33%,38%,31%,34%,34%,35%,41%,35%,35%,36%,36%,35%,36%,37%,39%,37%,37%,34%,35%,34%,36%,35%,35%,32%,36%,34%,37%,40%,35%,36%,35%,36%,35%,36%,43%,34%,35%,34%,35%,36%,38%,38%,36%,35%,37%,33%,36%,33%,38%,41%,35%,35%,35%,38%,37%,39%,36%,36%,35%,34%,31%,37%,37%,34%,36%,31%,35%,33%,45%,38%,40%,37%,34%,31%,36%,35%,40%,35%,36%,36%,33%,34%,37%,39%,36%,35%,34%,34%,35%,37%,38%,33%,34%,34%,34%,33%,36%,37%,33%,34%,33%,34%
JAÚ,3525300,151881,SP,37%,34%,33%,36%,41%,42%,43%,43%,53%,53%,51%,52%,52%,51%,51%,53%,57%,55%,55%,54%,53%,53%,56%,58%,51%,50%,49%,47%,61%,55%,60%,50%,52%,50%,48%,47%,53%,60%,50%,58%,48%,47%,48%,52%,60%,49%,48%,48%,47%,57%,53%,60%,48%,47%,47%,46%,44%,47%,54%,47%,46%,47%,47%,46%,44%,49%,43%,42%,43%,43%,41%,45%,50%,47%,41%,41%,41%,41%,44%,48%,42%,42%,42%,41%,41%,44%,47%,42%,42%,41%,45%,41%,43%,47%,42%,42%,41%,41%,38%,42%,47%,40%,41%,41%,40%,41%,44%,47%,41%,39%,41%,41%,40%,42%,46%,40%,40%,40%,40%,39%,41%,46%,41%,41%,41%,41%,39%,41%,46%,39%,39%,38%,39%,38%,41%,46%,39%,39%,38%,38%,39%,41%,47%,37%,37%,37%,37%,36%,38%,43%,38%,38%,38%,38%,40%,42%,49%,41%,41%,40%,40%,40%,44%,49%,41%,41%,41%,40%,39%,40%,46%,40%,40%,40%,39%,38%,39%,42%,45%,39%,39%,39%,37%,38%,44%,38%,39%,38%,39%,39%,39%,44%,39%,39%,39%,38%,38%,38%,43%,39%,34%,38%,39%,38%,37%,44%,38%,38%,38%,36%,38%,38%,43%,45%,37%,38%,38%,39%,40%,44%,38%,38%,38%,38%,38%,40%,44%,39%,38%,38%,38%,38%,39%,41%,44%,38%,38%,37%,37%,38%,41%,38%,38%,38%,36%,37%,38%,42%,38%,38%,38%,37%,40%,38%,42%,38%,38%,37%,37%,39%,38%,42%,38%,37%,38%,38%
JUNDIAÍ,3525904,423006,SP,29%,27%,27%,29%,35%,37%,39%,42%,55%,53%,50%,51%,51%,51%,50%,54%,58%,52%,51%,51%,51%,49%,54%,56%,48%,47%,47%,45%,57%,53%,57%,48%,48%,48%,47%,46%,51%,58%,48%,55%,45%,45%,45%,50%,57%,46%,45%,45%,44%,52%,50%,57%,45%,44%,44%,44%,42%,47%,51%,45%,44%,44%,44%,43%,45%,50%,43%,42%,42%,42%,41%,46%,52%,47%,40%,41%,42%,41%,46%,49%,42%,41%,41%,41%,40%,44%,49%,41%,40%,40%,44%,40%,43%,49%,41%,40%,40%,39%,38%,42%,48%,40%,40%,39%,38%,39%,43%,48%,40%,40%,40%,39%,39%,41%,48%,40%,40%,39%,40%,39%,42%,48%,40%,39%,39%,39%,39%,42%,47%,38%,36%,36%,36%,35%,39%,46%,38%,36%,37%,37%,36%,38%,46%,37%,36%,36%,35%,34%,37%,43%,34%,34%,34%,33%,33%,37%,45%,35%,35%,33%,34%,32%,38%,43%,34%,33%,33%,33%,32%,34%,41%,33%,34%,33%,32%,32%,34%,38%,42%,33%,33%,32%,32%,34%,42%,33%,33%,33%,32%,32%,33%,41%,33%,34%,33%,33%,32%,33%,39%,33%,32%,32%,31%,32%,32%,39%,32%,32%,31%,32%,32%,32%,38%,42%,31%,31%,32%,34%,33%,39%,32%,32%,32%,,31%,33%,39%,33%,32%,31%,31%,31%,36%,39%,40%,32%,31%,30%,30%,33%,40%,31%,32%,32%,31%,31%,33%,38%,32%,32%,32%,31%,34%,33%,38%,32%,32%,31%,31%,33%,33%,37%,31%,31%,32%,32%
LEME,3526704,104346,SP,45%,44%,42%,45%,48%,50%,50%,49%,60%,58%,56%,56%,57%,56%,56%,58%,61%,60%,59%,58%,58%,57%,62%,60%,56%,54%,53%,48%,61%,55%,60%,51%,52%,51%,50%,50%,55%,62%,52%,59%,50%,48%,49%,54%,60%,50%,50%,49%,48%,59%,54%,60%,49%,48%,44%,47%,47%,52%,56%,49%,48%,48%,49%,48%,51%,53%,49%,49%,49%,48%,47%,51%,54%,50%,47%,49%,50%,47%,50%,52%,49%,48%,47%,48%,46%,49%,53%,47%,47%,46%,50%,45%,50%,53%,47%,47%,48%,48%,47%,49%,51%,47%,47%,47%,47%,47%,48%,53%,47%,48%,47%,47%,47%,48%,52%,47%,46%,47%,47%,46%,49%,52%,48%,48%,45%,47%,47%,48%,50%,46%,47%,46%,45%,46%,47%,53%,45%,44%,44%,46%,45%,47%,55%,48%,45%,46%,45%,43%,45%,50%,45%,45%,44%,46%,48%,49%,55%,46%,46%,45%,44%,46%,48%,52%,44%,44%,44%,45%,44%,44%,53%,45%,47%,46%,44%,44%,44%,46%,50%,42%,46%,44%,43%,45%,51%,45%,46%,46%,45%,45%,46%,52%,44%,44%,45%,46%,45%,46%,51%,47%,45%,44%,45%,45%,43%,48%,44%,43%,43%,45%,46%,45%,48%,52%,44%,45%,45%,45%,45%,47%,45%,44%,44%,44%,44%,45%,48%,44%,45%,42%,43%,39%,45%,50%,48%,43%,46%,42%,42%,44%,49%,45%,44%,45%,41%,44%,47%,51%,44%,45%,43%,42%,46%,45%,48%,43%,44%,42%,43%,44%,46%,49%,45%,42%,45%,44%
